ID,Year,Fall,Name,NameType,Mass,Latitude,Longitude
5175,1990-01-01T00:00:00.000,Fell,Burnwell,Valid,1504,37.62194,-82.23722
5177,1946-01-01T00:00:00.000,Fell,Bursa,Valid,25000,40.2,29.23333
5178,1863-01-01T00:00:00.000,Fell,Buschhof,Valid,5000,46.45,25.78333
5181,1852-01-01T00:00:00.000,Fell,Bustee,Valid,1500,26.78333,82.83333
5183,1861-01-01T00:00:00.000,Fell,Butsura,Valid,29000,27.08333,84.08333
48654,2008-01-01T00:00:00.000,Fell,Buzzard Coulee,Valid,41000,52.996,-109.84817
5185,1870-01-01T00:00:00.000,Fell,Cabezo de Mayo,Valid,25000,37.98333,-1.16667
5186,1886-01-01T00:00:00.000,Fell,Cabin Creek,Valid,48500,35.5,-93.5
5187,1919-01-01T00:00:00.000,Fell,Cacak,Valid,212,43.83889,20.33333
45976,2007-01-01T00:00:00.000,Fell,Cali,Valid,478,3.405,-76.51
5200,1916-01-01T00:00:00.000,Fell,Calivo,Valid,2400,11.75,122.33333
5249,1991-01-01T00:00:00.000,Fell,Campos Sales,Valid,23680,-7.03333,-40.16667
5250,1964-01-01T00:00:00.000,Fell,Çanakkale,Valid,4000,39.8,26.6
5251,1861-01-01T00:00:00.000,Fell,Cañellas,Valid,945,41.25,1.66667
5252,1866-01-01T00:00:00.000,Fell,Cangas de Onis,Valid,34000,43.38333,-5.15
5253,1973-01-01T00:00:00.000,Fell,Canon City,Valid,1400,38.47028,-105.24139
5260,1846-01-01T00:00:00.000,Fell,Cape Girardeau,Valid,2300,37.26667,-89.58333
5264,1934-01-01T00:00:00.000,Fell,Capilla del Monte,Valid,750,-30.88333,-64.55
45817,2007-01-01T00:00:00.000,Fell,Carancas,Valid,342,-16.66444,-69.04389
5265,1902-01-01T00:00:00.000,Fell,Caratash,Valid,8,38.5,27.0
5291,1874-01-01T00:00:00.000,Fell,Castalia,Valid,7300,36.08333,-78.06667
5292,1791-01-01T00:00:00.000,Fell,Castel Berardenga,Valid,,43.35,11.5
5293,1848-01-01T00:00:00.000,Fell,Castine,Valid,94,44.38333,-68.75
5295,1583-01-01T00:00:00.000,Fell,Castrovillari,Valid,15000,39.8,16.2
5296,1810-01-01T00:00:00.000,Fell,Caswell County,Valid,1360,36.5,-79.25
